year,school_operations,school_id
2022,2452496,154
2022,1403321,148
2022,2777516,167
2022,1136067,119
2022,1331365,111
2022,2260774,112
2022,1655040,115
2022,1480111,159
2022,926635,164
2022,1700439,661
2022,2621405,123
2022,1904909,114
2022,1900877,117
2022,3218461,146
2022,2203345,106
2022,1004999,116
2022,1891944,126
2022,3098741,143
2022,1176251,157
2022,1807818,141
2022,3599259,142
2022,3153841,144
2022,1505676,113
2022,1266906,127
2022,1943334,153
2022,1279630,160
2022,716110,162
2022,1534482,494
2022,2714435,532
2022,943818,145
2022,1973871,158
2022,1903559,166
2022,3100942,152
2022,3117060,151
2022,1931082,124
